name,dialog
SpongeBob," Time for another glorious day at work. [winks at his tie, the tie winks back] Good morning, Squidward! [walks down the street with Squidward] And isn't it a lovely morning? Why are you playing the clarinet on your way to work?"
Squidward," I'm practicing for my clarinet recital. Soon, all of Bikini Bottom will recognize the talent that is Squidward Tentacles. Goodbye, SpongeBoob."
SpongeBob," See ya at the Krusty Krab, Squidwart. Hey, Sandy, what's this?"
Sandy," Well, this here is my new matter transporter. It can move things from one place to another in the blink of an eye."
SpongeBob," Ooh, that sounds fancy."
Sandy, Let me show you how it works. [puts an apple in the transporter]
SpongeBob, Whoa! [apple disappears] Where'd it go?
Sandy, Just where you think it would be. [apple appears on Mrs. Puff's desk]
Puff, Oh!
SpongeBob," Uh-oh, I'm late for work. Do you think your machine can zap me over to the Krusty Krab?"
Sandy," I always did want to try a critter. Sure, why not? Get in there, SpongeBob."
SpongeBob, Whoo-hoo! [goes into transporter]
Sandy, Hold on tight.
SpongeBob," [transporter starts] Gee, Sandy, this sure feels..."
Squidward," [walking up to the Krusty Krab] Well, here we go again. [as he reaches for the door, SpongeBob appears and Squidward's arm is attached through SpongeBob's body]"
SpongeBob," Hey, Squidward! [laughs. Sandy's remote is going haywire]"
Sandy, What's going on with this thing? [SpongeBob and Squidward get transported back to Sandy's machine] What in tarnation? [gasps. SpongeBob and Squidward are mutated into one body]
SpongeBob," Hi, Sandy!"
Squidward," I'm not sure what it is, but something seems different about me."
SpongeBob," Yeah, me too."
Squidward," Hey, what are you doing with my hand? What am I doing with your hand? Ahh! What is this? We're all mixed up together. [tries to detach himself, but fails] This is horrible! I have my clarinet recital tomorrow!"
SpongeBob," Oh, it's not so bad, Squidward. Now we can be best buddies and do everything together, forever."
Squidward," [screams] Sandy, was this your doing? You've got to get us separated!"
Sandy," Well, I wish I knew how."
Squidward," Well, you have to do something! I can't stay stuck to him!"
Sandy," Hmmm, I wonder what would happen if I tried zapping you back in the transporter."
Squidward," Uhh, yeah, yeah, yeah, good idea. Let's try it."
Sandy," Well, here goes nothing. [transports to Bikini Bottom Elementary]"
Mable," All right, children. Today's Timmy's birthday. You know what that means. Ready, Timmy? [opens present. SpongeBob and Squidward rise up from the box, still mutated together. Mable screams as SpongeBob and Squidward get transported again]"
Doctor," Congratulations, Mrs. Smith. You gave birth to a healthy baby boy."
Smith, May I see my baby?
Doctor, Of course. [baby appears as SpongeBob & Squidward mutated into one body again. Mrs. Smith screams as they are transported again]
Monster," I've been in love with you ever since I first laid my eye on you. [both monsters kiss. SpongeBob and Squidward appear between them] Hey, baby, what's your name? [SpongeBob and Squidward get transported again. The lady monster slaps the one-eyed monster's face and leaves]"
Squidward," It's no use, Sandy. We're still the same."
Sandy," Well, that's a darn shame. You know what, I was working on the blueprints for a new invention. But it's still in the embryonic stage."
Squidward, Try anything! I cannot go to my clarinet recital like this.
Sandy," I'll continue working on it. In the meantime, you boys keep your head up."
SpongeBob, Together forever.
Squidward," Misery. [later, SpongeBob and Squidward are riding a bike to work] SpongeBob, hasn't anyone taught you how to ride a bike?"
SpongeBob," Don't worry, I'll drive."
Squidward," [Squidward's head bumps against the wheel of the bike] Ow, ow, ow. SpongeBob! Ow, ow, ow, ow, ow. [both enter the Krusty Krab riding the bike. The bike crashes into the boat and they fly through the kitchen window]"
Krabs, [enters kitchen] What in blazes is going on in here?
SpongeBob," Oh, hi, Mr. Krabs."
Krabs, What are you two doing laying around? Get to work.
Squidward," If you say so. [as they stand up, Mr. Krabs freaks out]"
Krabs," Egad! What happened to ya? Uhh, I don't want to know. Just go do your jobs."
SpongeBob," Aye aye, cap'n!"
Squidward, Do you have to be such an accommodating buffoon?
SpongeBob," Squidward, everybody knows I'm a sponge. I look nothing like a balloon."
Squidward, I don't have time for this. I've got to man the cash register. [stretches his head through the kitchen window] Whew. Can I help you?
Squidward," SpongeBob, I need two Krabby Patties."
SpongeBob, Two Krabby Patties coming right up. [notices the buns are out of reach] I can't... reach the buns.
Krabs," SpongeBob, what's the holdup?!"
SpongeBob," Sorry, Mr. Krabs. I'm on it."
Krabs," Time is money, boy."
SpongeBob," Time is money. Right. [reaches bun] Hello, bun. At last we meet. [Squidward can't hold the cash register. His head flies through the kitchen window, onto the grill and crashes into SpongeBob] And now for the-"
Krabs," Alright, that's it. I can't afford you jeopardizing me business. You two are more trouble than you're worth. [pushes them out the restaurant] And don't come back until you get this problem sorted out."
SpongeBob," Look on the bright side, Squidward. At least we still have each other."
Squidward," That's how we got into this predicament in the first place, you imbecile! Now if you'll excuse me, I'd like a moment of peace. [plays clarinet as they walk past a surfer]"
Surfer," Whoa, rock on, freaky bro!"
Squidward, Sandy! Sandy! Please tell me you've figured out a way to separate us.
Sandy, Say hello to the 'Molecular Separator Ray'.
Squidward," Hello, Molecular Separator Ray. Well, let's get on with it. My clarinet recital is tomorrow night."
Sandy," Uhh, well, I'm not quite done with it yet."
Squidward, What'd you say?
Sandy," I'm still putting it together. At best I'll have it ready, uhh, the day after tomorrow? Maybe? [Squidward pushes Sandy's air helmet]"
Squidward," What?!? Day after tomorrow?! No, No, No, No, No, No, No, No, No! I have a performance tomorrow! I can't be stuck to that yellow freak! [SpongeBob smiles] Sandy, please, you've got to do it before the show!"
Sandy," Well, uhh, I suppose... I'll have it ready before you go on. [Squidward and SpongeBob stretch through their front doors, but can't walk much further, so their houses collide together]"
Squidward," Of course. [at the clarinet recital] Oh, my. [not an empty seat in the house] Where are you, Sandy? Sandy? I can't do it. I can't go out there."
SpongeBob," Squidward, this is your moment. The story you will tell when you look back as a... superstar!"
Squidward, Superstar?
SpongeBob, Now go out there and give them the best darn show they've ever seen!
Squidward, You're right! The show must go on!
Announcer," Ladies and gentlefish, Bikini Bottom's Community Rec Center is proud to present: Squidward Tentacles. [curtain rises to Squidward wearing a big cape like clothing. Squidward starts playing and everyone begins to hate it]"
Evelyn," Honey, I'm scared. [the crowd continues to dislike Squidward playing the clarinet, the cape comes off as a nail tears it. SpongeBob starts to see the crowd, the crowd gasps]"
SpongeBob," Uhh, hi."
Wobbles," Whoa. Rock on, freaky bro! Yeah. Whoo! [crowd cheers]"
SpongeBob," Wow, they really liked it."
Krabs," [laughing] There you go, Squiddy!"
Squidward," They... they... they're cheering. Superstardom. This must be what it feels like. This is what it looks like. What it [starts to laugh happily] sounds like. And... [smells the air] ...what it smells like. Oh, simply intoxicating."
Sandy," Whoo-wee, there you boys are. Looks like I'm just in time."
Squidward, Sandy?
Sandy," One blast of this Molecular Separator Ray and you'll be separated for good. [SpongeBob and Squidward try to tell Sandy not to blast them, but was too late, she blasts the ray at Squidward and SpongeBob and it separates them. Crowd gasps]"
Squidward," [SpongeBob gives him back his clarinet] Hmph. [plays clarinet off-key making SpongeBob cheer for him, but the audience hates it as they block their ears, Old Man Jenkins faints off his chair]"
Mary," I think I'm going to be sick! [Squidward blows his clarinet at Billy, which blows his skin off and shows his skeleton]"
Billy," Ah, I'm out of here!"
Squidward," Huh, no, wait. Wait! [everyone leaves] Oh, my one moment of fame... gone. [grabs the Molecular Separator Ray] There's got to be some way to reverse this. [pushes the button over and over]"
Sandy," No, Squidward! That's a very sensitive device!"
SpongeBob," Squidward, I wouldn't--! [laser blasts into the final scene]"
Therapist," So, what seems to be the problem, Mr. Tentacles?"
Squidward," It all started when I was born. [camera zooms out to show Patrick, Sandy, Mr. Krabs, Mrs. Puff, Pearl, SpongeBob, and Squidward deformed and misshapen into a liquid ball of the fused characters]"
Krabs," [The scene goes back to the Krusty Krab where it shows SpongeBob in a Superhero-like costume (not his Mermaid Man Costume) at the register and Mr. Krabs holding a bag of Money] Gotta hand it to ya, boy. [The image changes to just show Mr. Krabs with the money] Gettin' Mermaid Man and Barnacle Boy to shoot for me restaurant was a stroke of genius."
SpongeBob," [The images changes back to show both of them. Mr. Krabs walks away.] All in the line of duty, Mr. Krabs. [Squidward crawls over to the register with a torn uniform. He is groaning] Isn't it great, Squidward?"
Squidward, Great? [He looks and points in the opposite direction of SpongeBob] Those little savages tried to kill me.
SpongeBob," Yeah, but it's so worth it when you get to work in these. [shows his uniform which consists of red underwear and a disguise mask around his eyes, and you hear a five-note poorly played trumpet fanfare]"
Plankton," [The scene returns to the Chum Bucket and Plankton still looking through his periscope] Stupid kid. Wait a minute, what's this? [The scene returns to the Krusty Krab where it shows Karen and Mr. Krabs talking and laughing (Plankton's voice is blocking what they say)] Karen? [The image changes to show (through the Krusty Krab window) the exterior of the Chum Bucket with Plankton's Periscope, which shows his eye] My own wife?! [The scene changes to show Plankton inside the chum bucket; the door is also shown] Oh, how Krabs mocks me. [He pushes his periscope back up]"
Karen," [opens doors to Chum Bucket] Hi, honey."
Plankton, [He turns around] What's that? A souvenir from your boyfriend Krabs?
Karen," [The image changes to show Karen's face] Oh, pipe down. I just went to get you this [The image changes to show [Plankton looking mad and Karen's hand putting down the Kids Meal box] happy hero box."
Plankton," Wha...?! [jumps on top of the box] Thanks, babe. You're too good to me. [opens the box and gasps] A Mermaid Man action figure...And a Barnacle Boy eraser?! [Jumps down and plays with the toys] Look at me. I'm Barnacle Boy. Look at me. I'm Mermaid Man. [The scene pans out to show Mr. Krabs on the box] Krabs! [hits the side of the box with Krabs' picture on it with his new toys while laughing. He jumps on top of the box and continues to laugh. He jumps off of it. The crushed box is shown.] Sure! Why didn't I think of this before? If Mermaid Man and Barnacle Boy can build Krabs up, they can tear him down, too. [maniacal laughter. The scene changes to show the exterior of Shady Shoals Rest Home. Snoring can be heard. The scene changes to show the bottom of Mermaid Man and Barnacle Boy's room door. The snoring continues] Ding dong. [door opens. Plankton is wearing a plaid, yellow shirt, a red bow tie, and a boater hat with a yellow stripe] Hello, boys. [Mermaid Man and Barnacle Boy are the ones snoring, they wake up]"
Boy, What? What? What?
Plankton," I'm Down Here, Fellas!"
Man, Who are you?
Plankton," [Hops onto Mermaid Man's foot] Oh, Professor Plankton, Door-to-door salesman. [gets out a card] My card."
Man," [takes card and reads it] ""Professor Plankton's Personal Products?"""
Plankton," Say, you two look like a couple of ladies' men, am I right? [An ugly image of Mermaid Man and Barnacle Boy is seen. A scream and glass breaking can be heard.] I knew it! Just look at that heroic chin. [Barnacle Boy's chin has zits and bumps in it and you hear a horse neigh] Those chiseled features. [Mermaid Man's ears has hair growing out of it and zits all over and you hear a monkey scream] That bra. [An elephant is heard. He then jumps to his neck.] But what's this? Dandruff?"
Man, I've got dandruff?
Plankton, You sure do. [pours laundry soap around his neck] See?
Man," Oh, my! [looks at soap]"
Plankton," [He goes over to Barnacle Boy's head and lifts up Barnacle Boy's hat but sees there is real dandruff under there. The scene zooms in and shows the dandruff in more detail and snow bells jingling is heard] Ew! [He then moves back to Mermaid Man's foot] Couple of studs like you can't go around like this. Lucky for you, Dr. Plankton's come prepared with ""Plankton's Dandruff Control Shampoo"". A little of this stuff and the ladies will be breakin' down your door."
Boy," [Barnacle Boy pulls a lever which moves their couch back until it is flat] Sign us up, Professor."
Plankton," [He moves to the now-flat back of the couch between both Mermaid Man and Barnacle Boy] Wise decision, gentlemen. [rubs the shampoo into both of their scalps while humming happily] Hey, what do we have here? You fellas look a little peaked. [both are now under Plankton's control] Hmm, this shouldn't be. I wonder. [tears off the dandruff tag a little on the shampoo bottle] Say, this isn't Professor Plankton's Dandruff Control Shampoo! It's Professor Plankton's [Pulls of the rest of the tag] Mind Control Shampoo! [laughs] With conditioner. Time to prepare for your next role, fellas, as my zombies! [laughs. The scene changes, through a card that says ""Wipe!"", to the Krusty Krab where there is a gigantic line outside and giant Mermaid Man and Barnacle Boy balloons above the building]"
Kids," [chanting] We want Mermaid Man! We want Barnacle Boy! [kids throw Squidward into the window, which solidly flattens and Squidward slides away. The kids chant some more while throwing stuff around] We want Mermaid Man! We want Barnacle Boy! We want Mermaid Man!..."
Krabs," Uh, hey, kids? [The kids stop chanting] Uh, well, there's Mermaid Man and Barnacle Boy in the ballroom. [all the kids run inside the ballroom and Mr. Krabs closes the door behind them to keep them inside] SpongeBob!"
SpongeBob," [He jogs over] Yes, sir."
Krabs," Go get those AWOL do-gooders you talked me into hirin', and bring their patoots back here on the double!"
SpongeBob," Aye, aye, Mr. Krabs. [He runs off-screen]"
Krabs," [Grabs a broom] Back, you! Back!"
SpongeBob," [He goes over to the receptionist] Mermaid Man and Barnacle Boy, please. And I'm kind of in a hurry. [The receptionist shrieks and ducks as a chair is thrown and breaks above him. While waiting, SpongeBob whistle-sings a song] Doot, do, doot-do, doot... [Mermaid Man taps him on the shoulder. SpongeBob gasps then shrieks. Mermaid Man and Barnacle Boy growl at him while under Plankton's control] Oh, my gosh. You guys live in a dump! But we don't have time for that right now. We gotta get you back to the Krusty Krab for your special appearance. I'll take ya. [Mermaid Man takes SpongeBob's hand and does the Spine Blaster on him while he grunts.] Wow! I haven't seen you do the Spine Blaster since... [Mermaid Man does Spine Blaster on SpongeBob again and he again grunts.] ...since episode 647. [Mermaid Man does the Spine Blaster on SpongeBob once again and he still grunts] When you blasted that guy's spine. [He whimpers while getting up] You still got it. [Mermaid Man and Barnacle Boy drag SpongeBob off. The scene changes to the Krusty Krab]"
Perkins," Perch Perkins here, live at the Krusty Krab. We're just moments away from an important press conference with Mermaid Man and Barnacle Boy. I have with me here Eugene Krabs, owner of the restaurant. Any thoughts, Mr. Krabs?"
Krabs, [muttering gibberish because of all the money in his pocket]
Perch," [chuckles] Oh, okay. We'll come back to you later. [SpongeBob comes crashing down through the ceiling]"
SpongeBob," Ladies and gentlemen, I present Mermaid Man and Barnacle Boy. [Mermaid Man and Barnacle Boy crash through the side of the Krusty Krab. All the kids break through the ballroom cage and run up to their heroes cheering. But Mermaid Man and Barnacle Boy throw them aside and go up to the press conference booths while the cameras flash. They growl.]"
Plankton," [hiding in Mermaid Man's right ear] Oh, boy! Everyone in Bikini Bottom showed up! This is gonna be so sweet. [maniacal laughter]"
Perch," Mermaid Man, [Clearly and slower than normal.] what is your opinion of the Krabby Patty?"
Plankton, Ooh! This is too easy. Now just tell everyone that... [whispers into his ear]
Man," I, Mermaid Man, think that Krabby Patties are, uh... uh, what?"
Plankton, They're terrible! You hate Krabby Patties.
Man," I'm late for ""Snappy Pabbies?"" Barnacle Boy, [He Slaps him which makes him come out of the trance] we're late for... [snores]"
Plankton," Oh, for crying out loud! [walks up to his ear drum] Tell them you hate Krabby Patties! [Mermaid Man snores then exhales. Plankton gets frustrated and goes through the ear canal]"
Man, Wha?...
SpongeBob," [Off-Screen] Mermaid Man. [now on-screen, whispering] I brought you something to refresh your memory. [He pulls out a Krabby Patty]"
Man," [Off-Screen] Ooh, a Krabby Patty! [now on-screen, he takes the Krabby Patty from SpongeBob.] Would you look at that? [He moves back to Barnacle Boy] Barnacle Boy, it's a Krabby Patty. Why, these things are... [becomes under the mind control again] ...evil!"
Frank," Susie, no! [slaps her patty away]"
Man," I hate these nasty things! [spits on it, SpongeBob becomes broken and cracks into pieces]. And furthermore..."
Plankton," [talks through a microphone inside Mermaid Man] ...let it be known that I, Mermaid Man prefer the delicious food available at the Chum Bucket."
Man, Your new favorite restaurant!
SpongeBob, The Chum Bucket?!! Plankton must be behind this.
Plankton, Yes. Yes! [He is shown in the pupil of Mermaid Man] It's working. [Laughs. The crowd is mumbling disgustedly and exit the Krusty Krab]
SpongeBob, Hold it right there! You forgot your...Krabby Patties!
Boy, [They get out of the mind control and drool] Krabby Patties. Krabby Patties!
Plankton," Oh, no. Those infernal Krabby Patties. Their grease-fried deliciousness could be enough to free Mermaid Man and Barnacle Boy. [Plankton turns a switch to slap Mermaid Man from eating a Krabby Patty. They return back to being under the mind control. Plankton makes Mermaid Man throw one away and then stomp on the one that Barnacle Boy had. Then they walk out and walk past SpongeBob, knocking him over. They are stopped by SpongeBob]"
SpongeBob," Not so fast! You're not dealing with an ordinary fry cook! It's time for you to meet... [throws an exploding capsule on the ground] Fry Boy, Defender of... Ow! [notices his that his outfit hasn't changed, so, he uses another exploding capsule to put on another outfit] Fry Boy... [ He is now wearing a superhero costume that features two Krabby Patties, two Spatulas, and a cape. His voice becomes deep and he has a large chin.] ...Defender of the Krabby Patty! [Mermaid Man and Barnacle Boy growl and run after SpongeBob. SpongeBob throws the patties up into the air and hits them with his spatulas sending them to Mermaid Man and Barnacle Boy but the heroes duck. SpongeBob jumps. The heroes continue to run. SpongeBob stretches his arms around some coral and sends the heroes back towards him. He trips them into the ground and eating a Krabby Patty] Yes! You lose, Plankton! Now watch as the Krabby Patties' wholesome flavors work their magic! [nothing happens except Barnacle Boy checking his watch so Plankton shrugs and pushes the lever again and sends the heroes over to the Chum Bucket]"
Plankton," I did it! I did it! Look at all these customers. [evil laugh] In your face, Krabs. Yes!"
Harold," So, uh, where's the food?"
Plankton," [laughs evil. Gasps] Food? Oh, yeah. Never thought I'd get this far. [goes into the kitchen]"
SpongeBob," It doesn't make sense. [He pops his head out] They should have been cured once the pureness of the Krabby Patties entered their... That's it! Mermaid Man and Barnacle Boy are elderly. [Scene changes to inside Mermaid Man's stomach] Their poor aging tummies must be having a hard time digesting the food. [Scene changes back to SpongeBob] I know just what to do! [He exits the hole and runs away. He crashes through the Chum Bucket's wall with a ""fiber"" truck and pours fiber into the heroes mouths. Their stomachs rumble and digest the food and they go return to their normal selves.]"
Man," I'm back to my old self again! Thanks to you, SpongeBob."
SpongeBob," And the delicious power of Krabby Patties. [He looks at the ""camera"" almost like it is a commercial.]"
Man," Say, I could use a couple more of those, and an order of Krabby Fries."
Boy, [walks out of the bathroom] And a decent latrine.
SpongeBob," Well, then, you guys know where to go!"
Boy, To the Krusty Krab! Away! [everyone goes over to the Krusty Krab]
Plankton," Hey, everyone, I made Chummy Joes! [Plankton screams as he sees everyone at the Krusty Krab]"
Patrick," ♪Squidward had a Krabby Patty, Krabby Patty, Krabby Patty. Squidward had a Krabby Patty whose buns were white as snow!♪"
Squidward, [talks while they sing the whole song again] Welcome to the Krusty Krab. Where it's almost as if the evolutionary clock ticks backwards. [cuts to SpongeBob and Patrick]
Patrick, ♪Squidward had a Krabby Patty--♪
Squidward, [SpongeBob & Patrick are still singing in the kitchen] Excuse me for just a second.
Patrick, ♪--white as snow!♪
Squidward," Do you mind, I'm trying to work in a fast food restaurant. You might wanna try it sometime!"
SpongeBob," I sure would, Squidward. That sounds... [Patrick interferes]"
Patrick," Oh, wait a minute! SpongeBob, you already do work in a fast food restaurant!"
SpongeBob," Oh, yeah!"
Patrick, Yay!
Squidward, Remind me to fire my therapist. [cuts to the front of Squidward's boat] And stop bringing your neighbors to work!
Patrick, We're not just neighbors.
SpongeBob, You can say that again!
Patrick, We're not just... [Squidward interferes]
Squidward," I don't care! [faces the customers, embarrassed. Laughs nervously] $4.19, please."
Patrick," Krabby Patty, Krabby Patty, Krabby Patty!"
Squidward," [Squidward is shown like a thermometer, reaching the boiling point] Alright! I am gonna... Well, I don't know what I'm gonna do, but... [SpongeBob opens the door and bashes Squidward's face]"
SpongeBob, [singing] She'll be comin' around the Krabby Patty when she comes!
Squidward," [screams as SpongeBob looks into Squidward] SpongeBob, you nincompoop! You broke my face! Don't just stand there, help me! I need a doctor!"
SpongeBob," [gasps] Oh, doctor! Is he gonna be alright? For the love of Neptune, tell me!"
Doctorfish," Well ,son..."
SpongeBob, No! don't tell me! I can't take it! [SpongeBob is crying]
Doctorfish, We should know...
SpongeBob," No, please. Just... just don't."
Doctorfish, We won't know for two weeks. You'll just have to wait. [Purple Doctorfish leaves]
SpongeBob," Two weeks? I'll never make it. [SpongeBob falls down. Two weeks later, SpongeBob comes into the hospital with a bouquet of flowers]"
Rechid," Mornin', SpongeBob. You're early today."
SpongeBob," Good morning, Nurse Rechid. [walks over to an old lady] Hi, Mabel. Saved the blue one just for you. [takes out a blue flower and gives it to Mabel]"
Mabel," Oh, SpongeBob. Blue is my favorite color. Er... or is it orange?"
SpongeBob," [laughs] Don't worry, Mabel. I'll bet your amnesia's gonna wear off in no time. [walks away]"
Mabel, My what?
SpongeBob," [flops into Squidward's room] Hiya, Squidward! I've been practicing how to flop on my back."
Squidward, [muffled shouting. His head is covered with bandages]
Doctorfish, We can't really have you in here today. I'm going to be removing Squidward's bandages and he made me swear to keep you far away from him.
SpongeBob," It has been two weeks already? [SpongeBob Smiling]. Don't worry, doc. I promise to stay out of the way."
Doctorfish, Okay. As long as you stay on the other side of the... [SpongeBob immediately dashes to the bed] [sighs] Right. [takes out some scissors and is about to remove the bandages on Squidward's face]
SpongeBob," Don't rush it! Sorry, go ahead. Wait!"
Doctorfish, [angrily] What is it?
SpongeBob, Are you sure that the patient has enough emensmansera?
Doctorfish, I have no idea what that is. Please. Just let me work.
SpongeBob," Very well, doctor. Carry on."
Doctorfish, May I?
SpongeBob, Hold it! The readings on this brain meter are all wrong! We must postpone the operation!
Doctorfish, That is a television set put here for the patient's enjoyment. And it's not even plugged into the wall!
SpongeBob," You're right, doctor. Proceed with operation sever. Hold it!"
Doctorfish, Now what?!
Nurse," Doctor, we can't do this. Surely we can use a less dangerous procedure. After all, we have to start thinking about... the welfare of... [Purple Doctorfish turns off the TV]"
SpongeBob, Wait!
Doctorfish, [impatiently] WHAT could it possibly be this TIME?!
SpongeBob, I just want to say sorry for interrupting you before.
Doctorfish, [gasps] I... I... I can't believe it. [Purple Doctorfish faints]
Squidward, SpongeBob?
SpongeBob, Yeah?
Squidward, How does it look?
SpongeBob, [looks at Squidward's face and is likewise stunned] Great Neptune...
Squidward, Come on. Spit it out. I can take it.
Nurse," Time for your medicine, Mister... [sees Squidward's new look] Mister... Mister... [flirting gesture] Handsome! Ohhh... [The nurse melts]"
Squidward, What did she call me?
SpongeBob, Handsome. But she spelled it wrong.
Squidward," Quick, hand me that mirror! [SpongeBob hands him a mirror, and he notices his new handsome look] What the...? Wait a second. That nurse was right. I am handsome!"
SpongeBob," Squidward, you're not handsome. You're a hunk!"
Marge, So handsome! [faints]
Thaddeus, Handsome! [Then more women faint]
Billy," [Crash!] Hello, Handsome."
SpongeBob," Gee, Squidward. People really seem to be noticing how handsome you are now. You might even be more handsome than before."
Tina, [screams] So handsome!
SpongeBob, If that's even possible.
chair," Uh... [screams, then starts walking] It's a miracle... I can walk."
Harold, [takes off sunglasses] I can see!
Fish, I can fly! [goes on top of a building and starts to fly] Uh-oh. My shoe's untied. [his shoe falls off]
Fish," Mr. Handsome, can I have your autograph? No! Not in the book, on my retainer."
Squidward, A limousine?! [shocked then the crowd cheers]
Squidward," Well SpongeBob, earlier today my spine was hurting, now I'm resting on fine leather upholstery. [Limo stops at Squidward's house while the crowd cheers for them]"
SpongeBob," Well, I'm gonna go clip my toenails Squidward, don't forget to enjoy being handsome."
Squidward," Oh, don't worry."
Crowd, [cheers] Handsome! Handsome! Handsome! Handsome! Handsome! Handsome! Handsome! [night time and crowd still keeps on cheering for Squidward until dawn]
Squidward," Huh? Well, better go greet the commoners.[heads outside to receive the cheering crowd, and is stunned to see numerous citizens surrounding him]"
Crowd, Handsome! Handsome! Handsome!
Squidward," Good morning my people! I'm sorry to have kept you waiting, but even I [laughs] strange as it seems, need my beauty sleep."
Squidward," I guessed I kept them waiting a little too long. I know, a little music should soothe their hunger. [plays the clarinet]"
Bill, Hey what is that sound?
Harold, Wait it's him! The handsome man! [crowd cheers]
Squidward," Beautiful and talented. what more do they want? Don't worry folks, there's more where that came from... Hey! [a guy steals his clarinet]"
Thaddeus, I got the clarinet! [crowd rips the shirt off the fish who got Squidward's clarinet and breaks his clarinet]
Squidward," [smells the liquid soap] There's nothing a little foaming herbal bath can't cure. [a female fish takes his soap] Hey, my grandmother gave me that soap! Well, no one ever said it'd be easy being so handsome, Squiddy. You'll just start getting used to.. [screams as a big female fish with 4 eyes pops out of his bath tub]"
Fish," Hi, Handsome."
Squidward, [screams and jumps out of the window and goes to SpongeBob's house while SpongeBob is clipping his toenails] SpongeBob! You gotta help me! They stole my bubble bath! Public life ain't all it's cracked up to be. I want my old life back.
SpongeBob, Hmmm... I know just what to do. [crowd chases Squidward and SpongeBob until they reach the Krusty Krab]
Krabs," Squidward? What have you done? You know what the Krusty Krab means to me, don't ya? And you took it upon yourself to bring all these, these customers, to me. Hey, don't worry folks, There's plenty of Squidward to go around. So everybody just line up and get your pocketbooks out, first will be a small fee of $14.98 per person, everyone will get the opportunity to touch Squidward."
Squidward, We don't have much time! Take the door and change me back.
Krabs, And I'll even throw in a free soft drink for an extra $3.
Squidward," Come on, SpongeBob. Take the door and smash my face back!"
SpongeBob," I can't! It was one thing doing it by accident, but I can't hurt you on purpose."
Squidward, You better hurt me or I'm really gonna hurt you!
SpongeBob," Well, okay..."
Squidward," Now don't hold back, SpongeBob. Just really let me have it."
SpongeBob," Just remember, Squidward, this is going to hurt me more than it's going to hurt you."
Squidward," Uhhh... okay, just let me just memori... [SpongeBob slams the door on Squidward's face] Dooowww! Hey, I wasn't ready. [slam!] Would you mind waiting ‘til I... [slam!]"
SpongeBob," Hang on, you're starting to look like your old self again. [slam!] Nope. Still too handsome. [slam!] It's still not working. Maybe I'm not doing it hard enough. [slam!]"
Squidward, Sponge... hang on a sec... [SpongeBob slams the door on him over and over again] let me... uhhh... [Squidward becomes even more handsome]
SpongeBob," Eeee! Squidward, you're even more handsome now! [crowd cheers even louder] And the crowd is in a frenzy."
Squidward," Well, SpongeBob, it was you who got me into this mess, now you have to get me out again!"
SpongeBob," I know, Squidward! I'll think of something! Huh! I just need, I just... [a shoe from outside will be hitting Squidward]"
Squidward, [In slow motion] Got me into...
SpongeBob, [springs into action] Squidward! Look out for that falling shoe!
Squidward," Huh? [SpongeBob pushes Squidward; Squidward screams while he is dramatically flying to the pole. The scene briefly cuts to SpongeBob, who gets hit by the shoe and has no feeling. After a while, Squidward hits the pole.]"
SpongeBob, Squidward...
Squidward, [his face returns to normal] SpongeBob?
SpongeBob," You're back! Oh, Squidward... I love you no matter how many times we smash your face."
Squidward, I almost wish that meant something. [crowd leaves after seeing Squidward not handsome anymore]
Krabs," Hey, where you going? Don't leave me! Please! I'm beggin' ya! Look. I can make him handsome again. Watch! [slams the door on Squidward's face repeatedly] See? [slam!] He's getting handsome. It just takes a little [slam!] effort, just a little [slam!] elbow grease. Please! Come back!"
SpongeBob, [sweeping]
Krabs, [moving his hands around over a table with a banner above it]
SpongeBob," Ahoy, Mr. Krabs!"
Krabs," Huh? [turns his head to see who was talking to him] Oh. Ahoy, SpongeBob!"
SpongeBob," Ahoy, Mr. Krabs!"
Krabs," Okay, that's over with, Now why don't you go see if First Mate Squidward needs any help at the register?"
SpongeBob," And what are you up to on this fine, fine Monday?"
Krabs," Well, I was gonna wait til this afternoon, but I guess I could show you now."
SpongeBob, Show me what?
Krabs, I'm introducing a new Krusty Krab promotion.
SpongeBob, Ah! You are?!
Krabs," I sure am. [starts to walk away. Here, the banner above the table is revealed to say, New Krusty Krab Promotion. On the table, there are three cups]"
SpongeBob, Who are ya gonna introduce it to?
Krabs," Well, all my loyal customers, of course!"
Squidward, Ha!
Krabs," [glares at Squidward] Anyway, we got new beverage cups."
SpongeBob, Wow.
Krabs," [pointing to the cups] There's Regular, Large, and the new Viking Size!"
SpongeBob," But, Mr. Krabs, these are all the same size cup."
Krabs," SpongeBob, this promotion is designed to save us money. Now, don't forget. Each participating patron who purchases any drink in our new Krusty Krab Viking Size cup gets to a chance to try on this genuine cardboard Viking helmet. [holds up a cardboard helmet that is taped and has three fake emeralds taped to it]"
Squidward, That he found while cleaning out his attic over the weekend.
Krabs, Don't you know when you're being ignored?
Squidward, You're the only one talking.
SpongeBob, [staring at the Viking helmet] Mr. Krabs... [reaches out to take the helmet] it's beautifu-
Krabs, Not so fast! Access to the mighty helmet will be granted to active promotion participants only. And only those who purchase Viking Size.
SpongeBob," Mr. Krabs, what's a Viking?"
Krabs," Oh, well, uh... the Vikings lived a long time ago."
SpongeBob, How long?
